Date,jedi_return,bench_return,raw_position,position,strategy_return,equity,bench_equity,drawdown,bench_drawdown
2024-08-05,-0.012295887327765572,-0.01572164619322798,0.0,0.0,-0.0,1.0,0.984278353806772,0.0,0.0
2024-08-06,-0.0015506887601492887,0.005685458187979644,0.0,0.0,-0.0,1.0,0.9898744272326739,0.0,0.0
2024-08-07,0.0006793885488387701,0.005067373923968631,0.0,0.0,0.0,1.0,0.9948904910932361,0.0,0.0
2024-08-08,0.009542202061671449,0.021881820945866746,0.0,0.0,0.0,1.0,1.0166605066800836,0.0,0.0
2024-08-09,0.004481003009762878,0.004932857675824216,0.0,0.0,0.0,1.0,1.0216755482641677,0.0,0.0
2024-08-12,0.004739309302144281,-0.0004994054250748209,0.0,0.0,0.0,1.0,1.0211653179526983,0.0,-0.0004994054250748643
2024-08-13,0.0011844529087487697,0.005975700787323928,0.0,0.0,0.0,1.0,1.0272674963471762,0.0,0.0
2024-08-14,0.01013564142020699,0.0027624770877104255,0.0,0.0,0.0,1.0,1.030105299268785,0.0,0.0
2024-08-15,0.0029815513002693504,0.013837747867639727,0.0,0.0,0.0,1.0,1.044359636677186,0.0,0.0
2024-08-16,0.0016656376302032767,0.00369058616570135,0.0,0.0,0.0,1.0,1.0482139359043234,0.0,0.0
2024-08-19,0.0022641857892168127,0.004230699231240673,0.0,0.0,0.0,1.0,1.0526486137971296,0.0,0.0
2024-08-20,0.004270531082625975,-0.007991056279298504,0.0,0.0,0.0,1.0,1.0442368394819512,0.0,-0.007991056279298454
2024-08-21,-0.0013809179135074313,0.003829866068758513,0.0,0.0,-0.0,1.0,1.0482361267212308,0.0,-0.004191794885837563
2024-08-22,0.005368458845666109,0.00041684547460026306,0.0,0.0,0.0,1.0,1.0486730792069672,0.0,-0.0037766967419657874
2024-08-23,0.002531834719030708,0.005956550772802365,0.0,0.0,0.0,1.0,1.0549195536473344,0.0,0.0
2024-08-26,0.0018159199094452975,-0.0028354688242685127,0.0,0.0,0.0,1.0,1.051928362140856,0.0,-0.0028354688242686527
2024-08-27,0.004038793129666976,0.0024209928175933666,0.0,0.0,0.0,1.0,1.0544750731502217,0.0,-0.00042134065633335114
2024-08-28,0.007606112165749143,0.0037925236538536916,0.0,0.0,0.0,1.0,1.058474194807543,0.0,0.0
2024-08-29,0.008729114842725942,0.009997960469922646,0.0,0.0,0.0,1.0,1.0690567779656621,0.0,0.0
2024-08-30,0.006180343036206517,0.006452401198409346,0.0,0.0,0.0,1.0,1.0759547612009752,0.0,0.0
2024-09-03,-0.012201442795052097,-0.034786682916847694,0.0,0.0,-0.0,1.0,1.0385258640902042,0.0,-0.0347866829168478
2024-09-04,0.0019894838198055683,0.006636903607591741,0.0,0.0,0.0,1.0,1.0454184601441618,0.0,-0.028380655170603
2024-09-05,-0.005903404489246265,-0.009515275012193182,0.0,0.0,-0.0,1.0,1.0354710159930667,0.0,-0.037625880443821626
2024-09-06,-0.01246796780100092,-0.016157993685033824,0.0,0.0,-0.0,1.0,1.0187398818556153,0.0,-0.05317591539025024
2024-09-09,0.012127073219460067,0.020926894713883173,0.0,0.0,0.0,1.0,1.0400589441040415,0.0,-0.03336182745905316
2024-09-10,-0.006129303008036126,-0.003785073694464396,0.0,0.0,-0.0,1.0,1.036122244354021,0.0,-0.03702062417800295
2024-09-11,-0.008508248480962677,-0.0007026350294337204,0.0,0.0,-0.0,1.0,1.0353942285703623,0.0,-0.037697247220077744
2024-09-12,0.0073619206934758315,0.013126028864524606,0.0,0.0,0.0,1.0,1.048984843100739,0.0,-0.025066033510677172
2024-09-13,0.0070542080285724345,0.00842666250611506,0.0,0.0,0.0,1.0,1.057824284347579,0.0,-0.016850594009323552
2024-09-16,0.005212735626621148,0.004666145799923924,0.0,0.0,0.0,1.0,1.062760246689045,0.0,-0.012263075537862458
2024-09-17,-0.0069655087892633505,-0.00239898265451136,0.0,0.0,-0.0,1.0,1.0602107032913337,0.0,-0.014632639286867479
2024-09-18,-0.00112336649128273,0.0006174069454655974,0.0,0.0,-0.0,1.0,1.0608652847432027,0.0,-0.014024266634528092
2024-09-19,0.005252392659188323,0.010031073986238481,0.0,0.0,0.0,1.0,1.071506902903894,0.0,-0.004133871104503128
2024-09-20,0.004849896324705412,0.004133130089364803,0.0,0.0,0.0,1.0,1.0759355803252482,0.0,-1.782684218585953e-05
2024-09-23,0.01186522151218834,0.011629956929489399,0.0,0.0,0.0,1.0,1.0884486647833358,0.0,0.0
2024-09-24,-0.010303854483853068,-0.0027438790134069187,0.0,0.0,-0.0,1.0,1.085462093334866,0.0,-0.002743879013406949
2024-09-25,-0.0014483872543628981,-0.0016322521757722575,0.0,0.0,-0.0,1.0,1.0836903454713018,0.0,-0.0043716524866895265
2024-09-26,-0.00043920514518691487,-0.006339926772321734,0.0,0.0,-0.0,1.0,1.0768198280371417,0.0,-0.010683863302371631
2024-09-27,0.006595169124987238,0.004792175194970647,0.0,0.0,0.0,1.0,1.0819801373065139,0.0,-0.00594288705210505
2024-09-30,0.007016189269381837,0.007580218245602654,0.0,0.0,0.0,1.0,1.0901817828847042,0.0,0.0
2024-10-01,0.017006103478581207,0.011362795131756382,0.0,0.0,0.0,1.0,1.102569295139996,0.0,0.0
2024-10-02,-0.006379889465834879,6.587611596594765e-05,0.0,0.0,-0.0,1.0,1.102641928122743,0.0,0.0
2024-10-03,-0.004784671239685468,-0.00656224813120768,0.0,0.0,-0.0,1.0,1.0954061181905284,0.0,-0.006562248131207705
2024-10-04,0.002936223749811309,0.009465037005487797,0.0,0.0,0.0,1.0,1.1057741776352394,0.0,0.0
2024-10-07,-0.0025187891678793753,-0.0031009394155759357,0.0,0.0,-0.0,1.0,1.1023452389030841,0.0,-0.00310093941557607
2024-10-08,-0.000792312306609224,0.0003302969597195004,0.0,0.0,-0.0,1.0,1.102709340184055,0.0,-0.0027716666867177915
2024-10-09,0.0017328201149745851,0.0030339489247894363,0.0,0.0,0.0,1.0,1.1060549040010619,0.0,0.0
2024-10-10,-0.013469338772288338,-0.009595224613582275,0.0,0.0,-0.0,1.0,1.0954420587622176,0.0,-0.009595224613582226
2024-10-11,0.012958615836972831,0.01629045521646973,0.0,0.0,0.0,1.0,1.1132873085627208,0.0,0.0
2024-10-14,0.008614518650259232,0.0058055045542340375,0.0,0.0,0.0,1.0,1.1197505031027526,0.0,0.0
2024-10-15,-0.005530828327745994,-0.005151326111122746,0.0,0.0,-0.0,1.0,1.1139823030981766,0.0,-0.005151326111122716
2024-10-16,0.009217812964291694,0.01124654946367023,0.0,0.0,0.0,1.0,1.1265107601716235,0.0,0.0
2024-10-17,-0.00047536942797775725,0.0013566377341257712,0.0,0.0,-0.0,1.0,1.1280390271767713,0.0,0.0
2024-10-18,0.0029185309370951705,-0.0002583032416791846,0.0,0.0,0.0,1.0,1.127747651039311,0.0,-0.0002583032416791287
2024-10-21,-0.0004718482549313496,0.0048314245964010604,0.0,0.0,-0.0,1.0,1.1331962787790757,0.0,0.0
2024-10-22,-0.01778227625126317,-0.033256869158304024,0.0,0.0,-0.0,1.0,1.0955097184050429,0.0,-0.03325686915830412
2024-10-23,-0.0005991476200059125,0.003051358930095565,0.0,0.0,-0.0,1.0,1.0988525117673045,0.0,-0.03030698887290184
2024-10-24,-0.000990406784161994,-0.010587092347562022,0.0,0.0,-0.0,1.0,1.0872188587488736,0.0,-0.04057321833048987
2024-10-25,0.010968578219557639,0.0015384352795542978,0.0,0.0,0.0,1.0,1.0888914745977696,0.0,-0.03909720232142029
2024-10-28,0.0019209725361771283,-0.00616799299820998,0.0,0.0,0.0,1.0,1.08217519960664,0.0,-0.045024044049462156
2024-10-29,0.002268378469172348,-0.007899142331683961,0.0,0.0,0.0,1.0,1.0736269436771286,0.0,-0.052567535048851415
2024-10-30,-0.003614969193111221,-0.001288792648830509,0.0,0.0,-0.0,1.0,1.0722432611645312,0.0,-0.053788579044943836
2024-10-31,-0.051409306070089276,-0.019947918696574266,0.0,0.0,-0.0,1.0,1.0508542397678715,0.0,-0.07266352753992525
2024-11-01,5.2533438288587904e-05,0.0007613324559680006,0.0,0.0,0.0,1.0,1.0516542892070986,0.0,-0.07195751618583834
2024-11-04,0.003943358264358063,0.001520821777501725,0.0,0.0,0.0,1.0,1.053253667952528,0.0,-0.07054612896600687
2024-11-05,0.01169195476475533,0.01188006004823097,0.0,0.0,0.0,1.0,1.0657663847738235,0.0,-0.059504161166062344
2024-11-06,0.018915198559459254,0.03138186707479285,0.0,0.0,0.0,1.0,1.0992121237935781,0.0,-0.0299896457673799
2024-11-07,-0.011965683944218361,-0.005971932478650667,0.0,0.0,-0.0,1.0,1.0926477032105686,0.0,-0.03578248210644921
2024-11-08,0.025033213844052667,0.03633458640312232,0.0,0.0,0.0,1.0,1.132348605591046,0.0,-0.000748037391141879
2024-11-11,0.010795754615942144,0.009516641613990743,0.0,0.0,0.0,1.0,1.1431247614525581,0.0,0.0
2024-11-12,-0.00702405657709984,-0.01157241633295067,0.0,0.0,-0.0,1.0,1.1298960457925242,0.0,-0.011572416332950667
2025-05-09,-0.0007580300797860806,-0.0006731943295802955,0.0,0.0,-0.0,1.0,1.1291354061814816,0.0,-0.012237820177476027
2025-05-12,0.0035864948038772083,0.014044074098648001,0.0,0.0,0.0,1.0,1.1449930674933013,0.0,0.0
2025-05-13,-0.01234996390798916,0.007817690691796653,0.0,0.0,-0.0,1.0,1.1539442691392154,0.0,0.0
2025-05-14,-0.01310000690975184,0.0010775764639371656,0.0,0.0,-0.0,1.0,1.1551877323243351,0.0,0.0
2025-05-15,0.02948005983159158,0.02101985864185714,0.0,0.0,0.0,1.0,1.1794696151626,0.0,0.0
2025-05-16,0.007779854926287487,0.007413662071982212,0.0,0.0,0.0,1.0,1.1882138043135866,0.0,0.0
2025-05-19,0.0035385714852190844,0.007878666409812387,0.0,0.0,0.0,1.0,1.1975753445013075,0.0,0.0
2025-05-20,0.0028511051649246963,0.0006344775290570926,0.0,0.0,0.0,1.0,1.1983351791467463,0.0,0.0
2025-05-21,-0.012363126883508593,-0.015224080163201481,0.0,0.0,-0.0,1.0,1.1800916283170317,0.0,-0.015224080163201517
2025-05-22,-0.0006165129010335713,-0.003460441762718896,0.0,0.0,-0.0,1.0,1.1760079899625686,0.0,-0.018631839883124626
2025-05-23,-0.03419381020049321,0.004981726030556591,0.0,0.0,-0.0,1.0,1.181866539578308,0.0,-0.013742932574310777
2025-05-27,0.012566516586920151,0.024428824325347036,0.0,0.0,0.0,1.0,1.210738149649672,0.0,0.0
2025-05-28,-0.01773334079295861,0.0012543192935547875,0.0,0.0,-0.0,1.0,1.2122568018702204,0.0,0.0
2025-05-29,0.003663399308141513,0.004604666662806533,0.0,0.0,0.0,1.0,1.2178388403525529,0.0,0.0
2025-05-30,0.009825606017581348,0.005261051261690467,0.0,0.0,0.0,1.0,1.2242459529201253,0.0,0.0
2025-06-02,-0.011157524998693494,0.005626224547906625,0.0,0.0,-0.0,1.0,1.2311338355531198,0.0,0.0
2025-06-03,0.010353807859480143,0.006208290120878254,0.0,0.0,0.0,1.0,1.2387770715818631,0.0,0.0
2025-06-04,-0.003325205488563285,0.004395003740720695,0.0,0.0,-0.0,1.0,1.2442215014453846,0.0,0.0
2025-06-05,-0.0015368430532951265,0.0005550733333075507,0.0,0.0,-0.0,1.0,1.2449121356215647,0.0,0.0
2025-06-06,0.007889148547270831,0.009497579655233523,0.0,0.0,0.0,1.0,1.2567357877933973,0.0,0.0
2025-06-09,2.5337761008675003e-05,0.0037299742279168,0.0,0.0,0.0,1.0,1.2614233798931676,0.0,0.0
2025-06-10,-0.009919312004061391,-0.019405093541973416,0.0,0.0,-0.0,1.0,1.2369453412103084,0.0,-0.019405093541973378
2025-06-11,-0.0008376054130579115,0.008671054491927146,0.0,0.0,-0.0,1.0,1.2476709616674784,0.0,-0.01090230167356966
2025-06-12,0.013641359108216655,-0.006774864538919939,0.0,0.0,0.0,1.0,1.2392181599130372,0.0,-0.017603304595488763
2025-06-13,0.021909373563838656,0.004170359684930493,0.0,0.0,0.0,1.0,1.2443861453679723,0.0,-0.013506357022364806
2025-06-16,-0.016560389138941416,-0.0049442122306812206,0.0,0.0,-0.0,1.0,1.2382336361683537,0.0,-0.018383790957464136
2025-06-17,0.012665427178227048,0.004566379320107357,0.0,0.0,0.0,1.0,1.2438878806380143,0.0,-0.013901359000210075
2025-06-18,-0.011077491651696357,-0.0066897230865805065,0.0,0.0,-0.0,1.0,1.2355666151657925,0.0,-0.020498085844552004
2025-06-20,-0.00021971053028565411,0.009242297896455698,0.0,0.0,-0.0,1.0,1.2469860898940701,0.0,-0.011445237363778811
2025-06-23,0.006828332916119134,0.014142502826075869,0.0,0.0,0.0,1.0,1.264621594194474,0.0,0.0
2025-06-24,-0.015502242069152267,-0.006908668422825543,0.0,0.0,-0.0,1.0,1.2558847429198394,0.0,-0.006908668422825525
2025-06-25,0.007695335783265096,0.0015942820211917225,0.0,0.0,0.0,1.0,1.2578869773861656,0.0,-0.005325400767490607
2025-06-26,0.012936516950791776,0.01342299900442695,0.0,0.0,0.0,1.0,1.2747715930313017,0.0,0.0
2025-06-27,0.0007003309679336759,0.01639610995375821,0.0,0.0,0.0,1.0,1.2956728882365705,0.0,0.0
2025-06-30,0.01023885841901427,0.0057949099603592244,0.0,0.0,0.0,1.0,1.30318119596198,0.0,0.0
2025-07-01,0.011385553671511414,-0.019430568655380436,0.0,0.0,0.0,1.0,1.27785964426344,0.0,-0.019430568655380325
2025-07-02,0.002706162032398907,-0.001514575652585364,0.0,0.0,0.0,1.0,1.275924229158817,0.0,-0.02091571524176445
2025-07-03,0.007509981879282682,0.011464478378572252,0.0,0.0,0.0,1.0,1.2905520348967048,0.0,-0.00969102462835381
